CODE11	-2185.297	548.453	-291.874	0.023	0.018	0.021	0.000
CODE12	-1703.937	32.177	523.564	0.023	0.016	0.022	0.000
CODE246	-1874.037	-662.485	108.442	0.021	0.015	0.020	0.000
CODE247	-2126.294	-622.304	-266.593	0.022	0.015	0.019	0.000
CSB-086-1	-1746.612	-680.534	310.725	0.026	0.018	0.021	0.000
CSB-086-2	-1766.826	-677.598	280.695	0.026	0.017	0.022	0.000
CSB-086-3	-1787.105	-674.345	250.414	0.024	0.016	0.021	0.000
CSB-086-4	-1807.610	-670.734	219.741	0.026	0.018	0.021	0.000
CSB-086-5	-1827.311	-667.629	190.312	0.026	0.017	0.021	0.000
CSB-086-6	-1847.705	-664.318	159.853	0.026	0.017	0.022	0.000
CSB-086-7	-2158.324	-615.020	-302.048	0.023	0.016	0.021	0.000
CSB-086-8	-2178.561	-611.660	-331.944	0.022	0.015	0.020	0.000
CSB-086-9	-2199.130	-608.661	-362.326	0.031	0.018	0.022	0.000
CSB-086-10	-2219.714	-605.656	-392.755	0.023	0.017	0.022	0.000
CSB-086-11	-2239.604	-602.462	-422.191	0.022	0.015	0.019	0.000
CSB-086-12	-2259.805	-598.934	-452.255	0.022	0.016	0.020	0.000
NUGGET11_1	-2179.941	554.713	-285.154	0.023	0.018	0.021	0.000
NUGGET11_10	-2189.973	544.131	-298.015	0.023	0.018	0.021	0.000
NUGGET11_13	-2190.336	551.831	-300.108	0.023	0.018	0.021	0.000
NUGGET11_A	-2189.181	559.269	-299.894	0.023	0.018	0.021	0.000
NUGGET11_B	-2186.296	540.639	-291.782	0.023	0.018	0.021	0.000
NUGGET11_C	-2182.215	539.911	-285.540	0.023	0.018	0.021	0.000
NUGGET11_D	-2181.070	547.274	-285.321	0.023	0.018	0.021	0.000
NUGGET12_3	-1700.467	39.394	527.256	0.023	0.016	0.022	0.000
NUGGET12_10	-1708.401	26.966	518.007	0.023	0.016	0.022	0.000
NUGGET12_13	-1709.313	34.382	515.182	0.023	0.016	0.022	0.000
NUGGET12_A	-1708.693	41.882	514.598	0.023	0.016	0.022	0.000
NUGGET12_B	-1704.367	24.361	524.468	0.023	0.016	0.022	0.000
