-385.383731	-198.468861	-14.617803
-368.242451	-22.895883	-4.592492
-379.955997	193.844032	-7.217190
-336.280876	103.373265	-0.819938
-259.249956	-88.502660	2.444206
-195.162664	-169.103706	2.425182
-202.233160	-109.532129	5.003512
-250.021091	30.893349	5.738914
-222.633294	-27.346066	6.495377
-239.523582	133.188108	5.857229
-200.923846	51.939759	8.634565
-129.071378	-151.312884	6.123032
-70.491033	-174.236467	6.369682
-86.982533	-108.750685	9.252450
-160.106173	168.334764	9.119278
-6.037062	-239.354809	2.682870
-93.303160	16.718362	12.302732
-214.437003	370.902335	-4.430572
-31.676308	-153.581272	7.914425
-87.816659	76.826433	12.558899
-49.781383	-22.939645	12.405005
4.411043	-122.841002	9.535935
-8.613053	-38.396551	12.333866
35.292355	-160.596085	7.516978
-86.181010	211.799936	9.925551
-21.712693	52.935387	13.436936
-41.205899	113.637466	12.967405
78.408767	-224.189284	2.847046
38.666070	-24.367457	12.458717
58.084151	15.831254	12.796552
29.455030	108.975865	13.075634
-7.447682	227.329936	10.127449
80.012919	197.341844	10.358152
207.445764	-120.153942	3.974141
106.219710	260.030498	7.179794
147.176641	141.148328	9.932322
179.230444	70.391184	9.398514
327.761131	-341.118207	-1.387526
229.197002	-56.934647	5.110744
88.535144	389.706684	-1.142987
240.832097	31.756996	6.024648
195.332224	194.922986	6.451017
230.348003	107.020671	6.497298
193.505969	399.525547	-6.080173
231.928433	297.984077	-0.481599
312.306727	190.273880	-1.193982
362.830024	49.722107	-3.596459
-333.771089	-22.377745	-1.346228
-288.952619	277.124341	-2.768281
-178.558579	273.559661	4.096496
-108.570780	292.798037	5.512206
-17.389527	303.086003	6.306890
165.842716	-48.149164	8.579391
-33.066144	-299.365423	-2.576967
81.655266	-146.117546	7.533434
159.771565	-9.856779	9.660018
153.867723	-177.998034	3.496996
237.532179	-403.851722	-1.692512
326.635897	-74.205965	-2.601534
409.367052	209.730378	-11.631165
392.491524	-193.752950	-15.836589
439.331498	-48.556777	-13.891379
-68.681544	416.836432	-3.121456
175.617554	23.534078	9.417402
-6.825270	-190.881299	5.920468
-278.609804	211.500515	1.109145
-161.613412	-42.804639	9.080511
-137.962329	-106.712902	7.894041
-109.796583	-223.801394	2.284098
144.585195	-75.388878	8.621193
461.148722	70.728514	-15.036137
-202.041346	-264.838665	-4.851581
-7.502531	44.103960	13.449717
117.694338	-122.010350	7.713279
289.072588	-172.640209	-4.290167
139.783898	-445.632090	-1.928689
-66.369110	-308.380883	-3.865406
-434.118169	-92.316817	-14.157673
-292.858668	-167.250085	-3.817726
-157.843965	-413.694252	-19.571492
-34.466273	-377.996661	-11.195762
29.482272	-465.876820	-2.129918
69.754808	-298.411656	-3.113420
186.351687	-250.806855	-3.202679
314.996713	-297.834898	-17.018321
-232.842901	-337.293768	-13.999428
77.648552	53.207354	12.809134
149.220079	-404.710649	-18.248633
-367.910652	-18.870715	-4.541854
