CODE11	-1565.751	532.580	-299.242	0.026	0.019	0.018	0.000
CODE12	-1674.554	119.860	691.258	0.028	0.017	0.018	0.000
CODE246	-1630.571	-620.357	325.236	0.026	0.016	0.018	0.000
CODE247	-1620.804	-626.094	-128.398	0.026	0.016	0.018	0.000
CSB-086-1	-1642.692	-613.543	564.543	0.029	0.016	0.018	0.000
CSB-086-2	-1641.912	-614.348	528.281	0.030	0.017	0.018	0.000
CSB-086-3	-1641.060	-614.797	491.710	0.030	0.017	0.019	0.000
CSB-086-4	-1640.105	-614.930	454.639	0.028	0.016	0.018	0.000
CSB-086-5	-1639.267	-615.446	419.108	0.027	0.016	0.018	0.000
CSB-086-6	-1638.400	-615.874	382.328	0.030	0.017	0.018	0.000
CSB-086-7	-1626.316	-623.126	-176.322	0.030	0.017	0.018	0.000
CSB-086-8	-1625.623	-623.428	-212.576	0.032	0.018	0.019	0.000
CSB-086-9	-1624.957	-624.153	-249.369	0.033	0.018	0.020	0.000
CSB-086-10	-1624.262	-624.857	-286.225	0.028	0.017	0.019	0.000
CSB-086-11	-1623.577	-625.266	-321.879	0.029	0.017	0.018	0.000
CSB-086-12	-1622.751	-625.418	-358.248	0.028	0.017	0.019	0.000
NUGGET11_1	-1564.717	539.597	-291.323	0.026	0.019	0.018	0.000
NUGGET11_10	-1566.414	527.544	-306.488	0.026	0.019	0.018	0.000
NUGGET11_13	-1564.934	534.927	-309.154	0.026	0.019	0.018	0.000
NUGGET11_A	-1563.552	542.323	-309.062	0.026	0.019	0.018	0.000
NUGGET11_B	-1567.216	524.845	-298.959	0.026	0.019	0.018	0.000
NUGGET11_C	-1567.485	524.876	-291.472	0.026	0.019	0.018	0.000
NUGGET11_D	-1566.105	532.206	-291.367	0.026	0.019	0.018	0.000
NUGGET12_3	-1673.257	127.473	695.539	0.027	0.017	0.018	0.000
NUGGET12_10	-1675.435	114.017	684.703	0.028	0.017	0.018	0.000
NUGGET12_13	-1674.014	121.029	681.143	0.028	0.017	0.018	0.000
NUGGET12_A	-1672.602	128.392	680.276	0.027	0.017	0.018	0.000
NUGGET12_B	-1676.004	112.224	692.521	0.028	0.017	0.018	0.000
NUGGET12_C	-1676.078	113.098	699.956	0.028	0.017	0.018	0.000
NUGGET12_D	-1674.701	120.436	699.109	0.028	0.017	0.018	0.000
NUGGET246_3	-1632.608	-630.216	339.761	0.026	0.016	0.018	0.000
NUGGET246_13	-1627.448	-600.685	329.757	0.026	0.016	0.018	0.000
NUGGET246_21	-1630.262	-615.192	350.549	0.026	0.016	0.018	0.000
NUGGET246_A	-1627.719	-600.425	344.848	0.026	0.016	0.018	0.000
