CODE11	-2109.457	539.077	-306.767	0.028	0.016	0.021	0.000
CODE12	-1568.527	219.449	569.843	0.025	0.016	0.022	0.000
CODE246	-1427.330	-482.650	156.315	0.021	0.019	0.020	0.000
CODE247	-1633.113	-530.621	-245.253	0.022	0.019	0.018	0.000
CSB-086-1	-1325.686	-456.518	371.868	0.023	0.021	0.021	0.000
CSB-086-2	-1342.046	-460.656	339.725	0.023	0.020	0.020	0.000
CSB-086-3	-1358.603	-464.485	307.328	0.025	0.022	0.022	0.000
CSB-086-4	-1375.415	-468.034	274.462	0.024	0.020	0.020	0.000
CSB-086-5	-1391.454	-471.827	242.965	0.026	0.022	0.021	0.000
CSB-086-6	-1408.085	-475.645	210.371	0.024	0.020	0.021	0.000
CSB-086-7	-1661.406	-534.878	-284.212	0.023	0.019	0.019	0.000
CSB-086-8	-1677.978	-538.596	-316.233	0.024	0.021	0.019	0.000
CSB-086-9	-1694.703	-542.797	-348.753	0.027	0.024	0.023	0.000
CSB-086-10	-1711.409	-546.935	-381.359	0.025	0.022	0.021	0.000
CSB-086-11	-1727.661	-550.687	-412.879	0.023	0.019	0.019	0.000
CSB-086-12	-1744.249	-554.238	-445.064	0.025	0.020	0.019	0.000
NUGGET11_1	-2107.523	546.742	-299.654	0.028	0.016	0.021	0.000
NUGGET11_10	-2111.515	533.453	-313.276	0.028	0.016	0.021	0.000
NUGGET11_13	-2114.406	540.531	-315.593	0.028	0.016	0.021	0.000
NUGGET11_A	-2116.067	547.873	-315.441	0.028	0.016	0.021	0.000
NUGGET11_B	-2107.548	531.436	-306.592	0.028	0.016	0.021	0.000
NUGGET11_C	-2104.217	532.127	-299.913	0.028	0.016	0.021	0.000
NUGGET11_D	-2105.842	539.406	-299.760	0.028	0.016	0.021	0.000
NUGGET12_3	-1568.352	227.382	573.716	0.025	0.016	0.022	0.000
NUGGET12_10	-1570.133	213.070	563.959	0.025	0.016	0.022	0.000
NUGGET12_13	-1573.360	219.693	560.868	0.025	0.016	0.022	0.000
NUGGET12_A	-1575.434	226.918	560.163	0.025	0.016	0.022	0.000
NUGGET12_B	-1566.189	211.998	570.890	0.025	0.016	0.022	0.000
NUGGET12_C	-1563.049	213.530	577.506	0.025	0.016	0.022	0.000
NUGGET12_D	-1565.132	220.723	576.825	0.025	0.016	0.022	0.000
