CODE11	-1409.151	-117.557	-214.803	0.032	0.023	0.042	0.000
CODE12	-2210.741	227.430	417.034	0.054	0.024	0.039	0.000
CODE248	-1786.814	-627.882	135.777	0.037	0.028	0.038	0.000
CODE249	-2115.959	-490.924	394.455	0.043	0.027	0.035	0.000
CSB-086-13	-1613.156	-704.828	-10.240	0.041	0.035	0.044	0.000
CSB-086-14	-1640.413	-693.796	11.293	0.053	0.042	0.060	0.000
CSB-086-15	-1667.055	-682.578	32.238	0.042	0.037	0.051	0.000
CSB-086-16	-1694.769	-671.175	54.075	0.036	0.029	0.039	0.000
CSB-086-17	-1722.125	-659.627	75.620	0.036	0.029	0.039	0.000
CSB-086-18	-1749.263	-648.544	97.109	0.044	0.032	0.049	0.000
CSB-086-19	-2156.639	-479.722	417.353	0.046	0.029	0.037	0.000
CSB-086-20	-2183.877	-468.553	438.668	0.046	0.027	0.035	0.000
CSB-086-21	-2211.290	-457.025	460.151	0.044	0.027	0.034	0.000
CSB-086-22	-2239.097	-445.294	481.918	0.045	0.027	0.033	0.000
CSB-086-23	-2265.758	-434.295	502.843	0.045	0.027	0.033	0.000
CSB-086-24	-2292.652	-423.737	524.025	0.046	0.027	0.033	0.000
NUGGET11_1	-1405.678	-126.630	-219.151	0.032	0.023	0.042	0.000
NUGGET11_10	-1412.845	-110.594	-210.811	0.032	0.023	0.042	0.000
NUGGET11_13	-1417.472	-116.832	-208.904	0.032	0.023	0.042	0.000
NUGGET11_A	-1420.013	-123.918	-208.622	0.032	0.023	0.042	0.000
NUGGET11_B	-1406.229	-110.256	-215.347	0.032	0.023	0.042	0.000
NUGGET11_C	-1400.584	-112.526	-219.740	0.032	0.023	0.042	0.000
NUGGET11_D	-1403.109	-119.559	-219.461	0.032	0.023	0.042	0.000
NUGGET12_3	-2209.077	219.234	414.146	0.054	0.024	0.039	0.000
NUGGET12_10	-2214.628	234.196	421.179	0.054	0.024	0.039	0.000
NUGGET12_13	-2219.046	227.777	422.953	0.054	0.024	0.039	0.000
NUGGET12_A	-2221.399	220.618	423.115	0.054	0.024	0.039	0.000
NUGGET12_B	-2208.017	234.805	416.647	0.054	0.024	0.039	0.000
NUGGET12_C	-2202.276	232.831	412.223	0.054	0.024	0.039	0.000
NUGGET12_D	-2204.637	225.695	412.378	0.054	0.024	0.039	0.000
NUGGET248_3	-1774.189	-622.637	124.605	0.037	0.028	0.038	0.000
NUGGET248_15	-1790.243	-642.579	140.309	0.037	0.029	0.038	0.000
NUGGET248_21	-1768.770	-640.298	122.163	0.037	0.028	0.038	0.000
NUGGET248_A	-1775.653	-652.846	129.329	0.037	0.029	0.038	0.000
NUGGET248_B	-1798.447	-622.352	144.853	0.037	0.028	0.038	0.000
NUGGET248_C	-1795.672	-608.109	140.877	0.037	0.028	0.038	0.000
NUGGET248_D	-1784.426	-612.754	132.012	0.037	0.028	0.038	0.000
NUGGET249_3	-2103.363	-485.795	383.216	0.043	0.027	0.035	0.000
NUGGET249_17	-2122.717	-502.773	401.565	0.043	0.027	0.034	0.000
NUGGET249_21	-2097.978	-503.506	380.885	0.042	0.027	0.035	0.000
NUGGET249_A	-2104.860	-515.969	388.159	0.043	0.027	0.035	0.000
NUGGET249_B	-2127.552	-485.294	403.511	0.043	0.027	0.034	0.000
NUGGET249_C	-2124.772	-471.089	399.405	0.043	0.027	0.034	0.000
NUGGET249_D	-2113.563	-475.856	390.549	0.043	0.027	0.035	0.000
TARGET04	-1408.164	-43.116	-208.230	0.032	0.022	0.041	0.000
TARGET05	-1406.129	273.247	-143.330	0.032	0.022	0.041	0.000
TARGET11	-1901.688	-451.386	51.066	0.045	0.031	0.049	0.000
TARGET12	-1827.968	-452.396	-0.597	0.043	0.030	0.050	0.000
TARGET13	-2188.735	-249.420	293.902	0.049	0.027	0.042	0.000
TARGET14	-1730.447	-428.726	-63.912	0.041	0.030	0.051	0.000
TARGET15	-2224.040	-158.270	337.752	0.049	0.026	0.041	0.000
TARGET16	-1666.888	-399.917	-102.394	0.040	0.029	0.052	0.000
TARGET17	-1388.707	62.041	-199.801	0.034	0.024	0.052	0.000
TARGET18	-1386.988	170.453	-178.178	0.033	0.023	0.050	0.000
TARGET19	-1449.337	-153.334	-202.625	0.036	0.025	0.050	0.000
TARGET20	-1808.657	568.049	198.997	0.034	0.023	0.036	0.000
TARGET21	-1553.796	497.988	6.482	0.031	0.022	0.038	0.000
TARGET22	-1442.174	367.870	-98.495	0.033	0.022	0.041	0.000
TARGET25	-2241.437	53.276	394.105	0.047	0.025	0.040	0.000
TARGET26	-2218.387	166.043	401.327	0.046	0.024	0.039	0.000
TARGET27	-1501.020	-248.544	-186.517	0.036	0.026	0.052	0.000
TARGET28	-2225.927	219.804	426.538	0.065	0.026	0.041	0.000
TARGET30	-1997.212	-426.104	123.091	0.054	0.031	0.052	0.000
TARGET31	-1572.855	-333.247	-154.136	0.045	0.031	0.058	0.000
TARGET32	-2244.027	-50.257	374.394	0.060	0.026	0.045	0.000
TARGET33	-2179.852	270.369	396.112	0.057	0.025	0.044	0.000
TARGET34	-1493.297	437.995	-48.233	0.034	0.023	0.047	0.000
TARGET35	-1716.112	566.562	134.060	0.035	0.024	0.042	0.000
TARGET36	-1633.421	543.287	71.497	0.035	0.025	0.044	0.000
TARGET37	-2129.122	-326.038	236.220	0.053	0.032	0.055	0.000
TARGET38	-1896.859	545.341	255.805	0.039	0.024	0.039	0.000
TARGET39	-1979.603	501.328	304.392	0.041	0.023	0.041	0.000
TARGET40	-2129.436	360.517	379.573	0.068	0.030	0.049	0.000
TARGET41	-2070.291	-383.294	183.061	0.061	0.032	0.059	0.000
TARGET42	-2056.687	444.889	346.362	0.046	0.026	0.045	0.000
TARGET44	-1790.314	-590.504	-50.522	0.076	0.064	0.075	0.000
TARGET45	-1620.807	-495.659	-197.334	0.077	0.056	0.089	0.000
TARGET46	-2546.714	-463.909	730.843	0.207	0.088	0.059	0.000
TARGET47	-2591.244	-193.773	487.129	0.182	0.045	0.088	0.000
TARGET49	-1594.940	-520.046	-623.183	0.162	0.107	0.341	0.000
TARGET50	-1282.576	-229.059	-389.244	0.106	0.109	0.274	0.000
TARGET55	-3055.077	590.611	-1342.358	0.210	0.077	0.181	0.000
TARGET56	-1725.895	-456.969	-67.482	0.074	0.065	0.082	0.000
TARGET57	-1723.612	-456.572	-64.675	0.085	0.052	0.096	0.000
TARGET58	-1400.753	-940.198	-173.904	0.078	0.149	0.172	0.000
TARGET59	-1285.643	-229.824	-391.993	0.070	0.049	0.131	0.000
TARGET60	-1289.480	-596.673	-197.011	0.052	0.042	0.120	0.000
TARGET61	-2353.498	-404.187	547.990	0.122	0.079	0.081	0.000
TARGET62	-2064.815	458.323	354.365	0.139	0.058	0.058	0.000
TARGET63	-1313.703	316.306	-235.821	0.076	0.048	0.175	0.000
TARGET64	-1292.690	-263.299	-376.263	0.249	0.246	0.554	0.000
TARGET65	-2401.309	255.977	407.593	0.286	0.110	0.194	0.000
TARGET67	-1918.608	-582.873	208.783	0.282	0.190	0.251	0.000
TARGET68	-3285.039	-68.871	285.064	0.450	0.076	0.213	0.000
TARGET69	-1491.209	-983.145	-144.767	0.061	0.129	0.145	0.000
TARGET70	-1788.923	-516.087	-35.086	0.091	0.079	0.117	0.000
